,Unnamed: 0,Date,Title,Description,score1
392,392,"March 10, 2020, Tuesday",ED seizes Rajiv Gandhi painting; many of YES Bank's big loans under scanner,"The Enforcement Directorate has widened its probe in the YES Bank case, taking it beyond loans given to DHFL; it is now looking ...",neutral
393,393,"March 10, 2020, Tuesday",YES Bank to transform into a retail bank: Administrator Prashant Kumar,"Hopeful that moratorium on withdrawal will be lifted by Friday, says bank administrator",neutral
394,394,"March 09, 2020, Monday",YES Bank crisis: Axis Trustee moves HC against AT-1 bond cancellation,"The central government, represented by the department of financial services and YES Bank, and the RBI have been included in the ...",neutral
395,395,"March 09, 2020, Monday",YES Bank fallout: Troubled borrowers may soon face a serious credit crunch,"A substantial portion of YES Bank's corporate loans are ""bilateral transactions"", and fall outside the pale of consortium",negative
396,396,"March 09, 2020, Monday",Housing finance has key role in making India $5 trn economy: Keki Mistry,"For the housing sector, the authorities are aware of the strong linkages it has with the economy.",neutral
397,397,"March 09, 2020, Monday","Business not as usual: YES Bank changes way banks, Mint Road are looked at","Former RBI governor, Urijit Patel, had said in the aftermath of the blowout at PNB that the banking regulator was better ...",neutral
398,398,"March 09, 2020, Monday",FM Nirmala Sitharaman to review bank merger preparedness on Thursday,Banks likely to set up common call centres and monitoring cells,neutral
399,399,"March 09, 2020, Monday",YES Bank fallout: CBI books Rana Kapoor's wife and three daughters,"Yes Bank has been put under a moratorium by the RBI till April 3, during which customers are not allowed to withdraw more than Rs ...",neutral
400,400,"March 09, 2020, Monday",YES Bank crisis: Paying loan? Shift ECS mandate to a nationalised bank,"If you are paying a personal/home loan or doing SIPs, shift ECS mandate to another bank. It just might make sense to have one ...",neutral
401,401,"March 09, 2020, Monday","Congress asks Modi to explain 'sinking banks', not divert attention","""Prime Minister, you need to tell the nation what is the BJP's connection to the Yes Bank and its owner,"" Randeep Surjewala",neutral
402,402,"March 09, 2020, Monday","ED investigating big loans issued by Yes Bank, Kapoor's foreign assets","A dozen alleged shell firms, Kapoor family investments of Rs 2,000 crore and over Rs 4,500 crore worth of transactions are under ...",neutral
403,403,"March 09, 2020, Monday","Yes Bank customers 'sensed trouble', withdrew Rs 18,110 cr in 2018","The difference in deposits between March 2019 to September 2019, reflects withdrawals to the tune of Rs 18,110 crore",negative
404,404,"March 09, 2020, Monday",Hopeful of moratorium being lifted this week: Yes Bank administrator,"The bank, which had over Rs 2.09 lakh crore in deposits, was put under moratorium last Thursday due to an inability to raise ...",neutral
405,405,"March 09, 2020, Monday","Meet Prashant Kumar, SBI veteran asked to steer Yes Bank in rough seas",Kumar's mettle was tested in field while leading Kolkata circle as chief General Manager and as general manager in erstwhile ...,neutral
406,406,"March 09, 2020, Monday","Yes Bank crisis: Working to restore all services soon, says Kumar","Before the RBI action, YES Bank had deferred announcement of its earnings for the 3rd quarter of 2019-20 to March 14 or before. ...",neutral
407,407,"March 09, 2020, Monday","Yes Bank may resume normal operations by Friday, says Prashant Kumar","RBI on Thursday took control of Yes Bank, after the lender - which is laden with bad debts - failed to raise the capital it needs ...",neutral
408,408,"March 09, 2020, Monday","YES Bank insolvency may tighten credit markets, widen economic pain: S&P","S&P Global Ratings on Monday said quick resolution of Yes Bank's insolvency will keep India's banking sector contagion at bay, ...",negative
409,409,"March 09, 2020, Monday",YES Bank: Anmi urges RBI to consider exempting capital market transactions,"The development comes after YES Bank on Thursday was put under a moratorium, with the RBI capping deposit withdrawals at Rs ...",neutral
410,410,"March 09, 2020, Monday","YES Bank debt writedown to raise borrowing cost, hit sector capital-raising","RBI said it would work on a revival plan, as part of which bonds classified as AT1 capital will be written down ""permanently, in ...",neutral
411,411,"March 09, 2020, Monday",Banking stocks slide to 13-month low amid fallout from YES Bank crisis,"YES Bank, weighed down by an increasing pile of bad debt, had struggled for months to raise the capital it needs to stay above ...",negative
412,412,"March 09, 2020, Monday",YES Bank scam: CBI carries out searches at 7 locations on bribery charges,Teams of CBI officers are carrying out operations at the residence and official premises of the accused in Mumbai,neutral
413,413,"March 09, 2020, Monday","YES Bank crisis: Rana Kapoor in ED custody, faces Rs 4K-cr kickback probe","12 shell firms, 2 UK assets, 44 paintings under ED scanner; London-bound daughter stopped at Mumbai Airport; CBI books Kapoor and ...",negative
414,414,"March 09, 2020, Monday",Statsguru: How PSBs deal with integration in a challenging biz environment,The RBI in December 2019 noted that private sector banks accounted for 69 per cent of incremental loans in 2018-19,neutral
415,415,"March 09, 2020, Monday",YES Bank fallout: Axis Trustee Services seeks clarity on AT-1 bondholders,RBI's draft reconstruction scheme for YES Bank suggested a permanent write-down of these bonds outstanding as of March 5.,neutral
416,416,"March 09, 2020, Monday",Merger of 10 PSBs into 4: Gains may not accrue soon for investors,"Experts say concern over growth, credit cost, and asset quality would restrict valuation improvement despite sharp correction in ...",neutral
417,417,"March 09, 2020, Monday",Retail investors bought YES Bank shares as institutions exited en masse,"Soon after the RBI announced the moratorium, global bank JP Morgan pegged YES Bank shares at Rs 1 a share.",neutral
418,418,"March 09, 2020, Monday","YES Bank clients' Rs 1,500-crore SBI Cards IPO applications hang in balance","Regulators, bankers in a huddle to resolve issue",neutral
419,419,"March 08, 2020, Sunday",Allow Puri Jagannath Temple to withdraw Rs 545 cr from YES Bank: Odisha FM,"During the period of moratorium, the Yes Bank Ltd will not, without the permission in writing of the RBI, make payment to a ...",neutral
420,420,"March 08, 2020, Sunday","Depositors' money safe in banks, concerns based on 'flawed' analysis: RBI","""RBI closely monitors all the banks and hereby assures all depositors that there is no such concern of safety of their deposits ...",negative
421,421,"March 08, 2020, Sunday","Indian banks well capitalised, no reason to worry: CEA Subramanian",He said that it is a wrong method to assess a lender's health based on the ratio of deposit to m-cap (market capitalisation),neutral
422,422,"March 08, 2020, Sunday","Rana Kapoor, hard-driving executive who rarely said no to giving loans","Weak compliance, poor governance and greed led to the bank's failure as it lent to borrowers who did not have the ability to",neutral
423,423,"March 08, 2020, Sunday","YES Bank crisis: ED widens probe, searches homes of Rana Kapoor's daughters","Sources said the agency might also register a separate case against Rana Kapoor, depending on the outcome of the search",neutral
424,424,"March 07, 2020, Saturday","Days after Yes Bank crisis, IndusInd Bank defers fund raising plans",The original plan was to borrow in local or foreign currency through AT-1 instrument or tier-2 capital,neutral
425,425,"March 07, 2020, Saturday","Yes Bank rescue plan: SBI to own 245 cr shares worth Rs 2,450 cr","SBI shall not reduce its holding below 26 per cent before completion of three years from the date of infusion of the capital, the ...",neutral
426,426,"March 07, 2020, Saturday",Yes Bank crisis: PayNearby says functioning 'without any disruption',"The Reserve Bank of India has imposed a moratorium on the bank and restricted withdrawals to Rs 50,000 per depositor till April 3",negative
427,427,"March 07, 2020, Saturday","Hold RBI accountable, bring YES Bank under govt control, says AIBEA",The AIBEA said that people's money should be for people's welfare and not for private loot,neutral
428,428,"March 07, 2020, Saturday","ED expands YES Bank probe, searches homes of Rana Kapoor's three daughters","The source said the searches are being carried out at the residential premises of all three daughters -- Rakhee Kapoor Tandon, ...",neutral
429,429,"March 07, 2020, Saturday","SBI says YES Bank survival crucial, can invest up to Rs 10,000 cr in it","SBI chief asserts private lender's failure could have huge implications for economy, says many co-investors have evinced interest ...",neutral
430,430,"March 07, 2020, Saturday",Yes Bank customers rush to branches as panic withdrawals run ATMs dry,Customers are also facing trouble because net banking services are not working and some even complained that their credit cards ...,neutral
431,431,"March 07, 2020, Saturday",YES Bank crisis: ED widens probe; raids Rana Kapoor's residence,The ED had searched Rana's residence in the upscale 'Samudra Mahal' complex in the Worli area on Friday night and had grilled him ...,neutral
432,432,"March 07, 2020, Saturday","Have set Rs 10,000 cr as upper limit for investment in YES Bank: SBI chief","The SBI chief has also said that the initial investment in YES Bank will be Rs 2,450 crore",neutral
433,433,"March 07, 2020, Saturday","YES Bank crisis: Mutual fund industry stares at Rs 3,000-crore hole",Nippon India's schemes saw maximum impact following perpetual bond write-offs,negative
434,434,"March 07, 2020, Saturday",YES Bank fallout: Additional tier-1 bondholders plan legal action,The RBI's draft reconstruction plan for YES Bank states that AT-1 bondholders shall not be entitled to get any compensation from ...,neutral
435,435,"March 07, 2020, Saturday","YES Bank crisis: ED searches founder, ex-CEO Rana Kapoor's Mumbai house","Confirming the development, an ED official said searches would continue over the weekend and Kapoor might have to face ...",neutral
436,436,"March 07, 2020, Saturday","YES Bank crisis: Raising capital immediate priority, says Prashant Kumar","YES Bank would be run independently and focus will be on turnaround to make it a robust bank and a good investment, Kumar said",neutral
437,437,"March 07, 2020, Saturday",HDFC Bank in talks with Goldman Sachs Group's Harit Talwar for CEO role,"The Mumbai-based lender has a market capitalisation of about $86 billion, giving it a bigger standing than major US banks like ...",neutral
438,438,"March 07, 2020, Saturday",Promoters of IndusInd Bank to hike stake by buying extra shares from market,The promoters of the bank plan to acquire additional shares from open market in India,neutral
439,439,"March 07, 2020, Saturday",Foreign exchange reserves a cushion for India against virus impact: RBI guv,He stressed that a swap line was critical from the point of view of preserving global financial stability,neutral
440,440,"March 06, 2020, Friday","RBI's moratorium on Yes Bank disrupts digital payments, PhonePe hit hardest","Since YES Bank is PhonePe's exclusive UPI partner, the latter's users have been affected the most",negative
441,441,"March 06, 2020, Friday",YES Bank crisis: ED raids founder Rana Kapoor's residence in Mumbai,They said the raid is being carried out at his Samudra Mahal residence in the western metropolis,neutral
442,442,"March 06, 2020, Friday",'Most of us don't know what happened': Yes Bank customers flock branches,"Across branches, the busiest people were the relationship managers, trying to soothe nerves",neutral
443,443,"March 06, 2020, Friday",Crisis at YES Bank highlights governance risk in banking sector: Fitch,The central bank's takeover of Yes Bank appears intended to restore depositor confidence,negative
444,444,"March 06, 2020, Friday","YES Bank crisis: AMCs stare at Rs 3,345 cr exposure to equity, bonds","As per the data, SBI Mutual Fund has the highest exposure of Rs 152.83 crore, followed by Rs 67 crore by HDFC Mutual Fund in the ...",neutral
445,445,"March 06, 2020, Friday","YES Bank 'won't fall off the cliff', SBI to rescue it with 49% stake","To pick up 49% stake in bank for Rs 2,650 cr; administrator says working to revive bank well before moratorium period ends",neutral
446,446,"March 06, 2020, Friday","This Gujarat co withdrew Rs 265 cr, hours before RBI moratorium on Yes Bank","On Thursday, the RBI restricted withdrawals from Yes Bank to Rs 50,000 per depositor",neutral
447,447,"March 06, 2020, Friday",SBI to buy 49% stake in Yes Bank under rescue plan; FM assures depositors,"Analysts calculate SBI's investment in Yes Bank would need to total almost Rs 2,500 crore ($339.10 million).",neutral
448,448,"March 06, 2020, Friday",FM on Chidambaram's YES jibe: Self-appointed doctors created more problems,Finance Minister Nirmala Sitharaman on Friday hit back at senior Congress leader P Chidambaram for his jibe over crisis-hit Yes ...,negative
449,449,"March 06, 2020, Friday",Paytm Payments Bank restricts transactions into Yes Bank accounts,"""Paytm Payments Bank Ltd (PPBL) today (Friday) announced that they are restricting transaction settlements, including UPI, into ...",neutral
450,450,"March 06, 2020, Friday",Working to revive Yes Bank well before moratorium ends: RBI-appointed admin,"Kumar, an ex-chief financial officer of SBI, also assured depositors that their money is safe and there is no reason to panic",neutral
451,451,"March 06, 2020, Friday","RBI to look into what went wrong at Yes Bank, fix responsibilities: FM","On finding risky credit decisions, the RBI advised change in management, the Finance Minister said",neutral
452,452,"March 06, 2020, Friday",Exim Bank's LoC scheme to see fresh commitments worth $20 billion by 2025,Asia and Africa account for 52 per cent and 42 per cent respectively of the share of total LoC commitments,neutral
453,453,"March 06, 2020, Friday","Distress calls, long queues at branches of Yes Bank post withdrawal limit","The bank's board has been superseded by RBI-appointed administrator Prashant Kumar, former deputy managing director and chief ...",neutral
454,454,"March 06, 2020, Friday",RBI draft plan: SBI to invest in reconstructed YES Bank up to 49%,"The draft comes a day after the RBI imposed a moratorium on the bank, restricting withdrawals to Rs 50,000 per depositor till ...",neutral
455,455,"March 06, 2020, Friday",Yes Bank crisis HIGHLIGHTS: ED raids Rana Kapoor's Mumbai residence,"The Reserve Bank of India has capped withdrawals at Rs 50,000 and imposed strict limits on operations at Yes Bank.",neutral
456,456,"March 06, 2020, Friday",Nippon India Mutual Fund marks down its investment in Yes Bank to zero,"In addition, the fund house has imposed a limit of Rs 2 lakh on fresh inflows into the impacted schemes till further notice, ...",neutral
457,457,"March 06, 2020, Friday","YES Bank stock crash: Retail investors have taken a Rs 3,300-crore hit","For LIC, the mark-to-market hit could have been over Rs 600 crore; FIIs' holding down by Rs 1,162 crore",neutral
458,458,"March 06, 2020, Friday",RBI to come up with a reconstruction plan for YES Bank soon: Sources,"""This will surely not be a rescue plan. You will get to know when the scheme is out,"" a top SBI executive who did not wish to be ...",neutral
459,459,"March 06, 2020, Friday",YES Bank crisis: FM assures depositors as RBI promises quick resolution,"RBI has assured there will be a quick resolution, says FM, even as RBI Governor promises resolution in 30 days; SBI Chairman ...",neutral
460,460,"March 06, 2020, Friday",Newsmaker: Ravneet Gill and the big bet on the wrong bank,Gill had the unenviable task of steering a troubled entity with legacy issues. But he could have been more proactive,neutral
461,461,"March 06, 2020, Friday",Want to assure YES Bank depositors that their money is safe: FM Sitharaman,She added that the people can withdraw money to deal with tough situations and the cash crunch is being dealt with,positive
462,462,"March 06, 2020, Friday","After Yes Bank crisis, Maharashtra govt shuns private sector banks",Instructions to the effect have been issued by Chief Minister Uddhav Thackeray to the concerned departments,neutral
463,463,"March 06, 2020, Friday",MFs urge investors to de-link YES Bank account and scout for alternatives,Move aimed to avoid funds getting blocked in account post-redemption request,neutral
464,464,"March 06, 2020, Friday",Former SBI CFO Prashant Kumar takes charge as YES Bank administrator,Prashant Kumar taking charge as the Yes Bank administrator is in line with notifications issued by Department of Financial ...,neutral
465,465,"March 06, 2020, Friday","YES Bank resolution will be swift, 30 days is an outer limit: RBI governor",The RBI governor also said that the impact of Covid-19 on India will be limited,neutral
466,466,"March 06, 2020, Friday","NSE puts restrictions on YES Bank shares, no bank guarantees to be accepted",The bank has also experienced serious governance issues and practices in the recent years which have led to steady decline of the ...,neutral
467,467,"March 06, 2020, Friday","PhonePe, other digital partners bear the brunt of YES Bank crisis",It can be noted that the bank's own net banking facilities have not been operational since last evening,neutral
468,468,"March 06, 2020, Friday","YES Bank customers shocked over moratorium; ATMs, branches run our of cash","RBI on Thursday imposed a month-long moratorium on YES Bank citing ""serious deterioration in its financial position""",neutral
469,469,"March 06, 2020, Friday","Moratorium on YES Bank is credit negative, highlights uncertainty: Moody's","YES Bank will not be able to grant or renew any loan or advance, make any investment, incur any liability or agree to disburse ...",negative
470,470,"March 06, 2020, Friday","Private lenders faced tough times due to poor corporate governance, NPAs","Way back in 2004, the crisis-ridden Global Trust Bank was merged with the Oriental Bank of Commerce by the Reserve Bank of India",negative
471,471,"March 06, 2020, Friday",All may not be lost for YES Bank but insiders say its recovery to be slow,It will depend on the acquiring bank or financial institution's capacity to hold the assets till the market improves and sell ...,neutral
472,472,"March 06, 2020, Friday",Customers rush to ATMs in Mumbai after RBI caps Yes Bank withdrawal limit,The customers claimed that the bank had not given any prior information about it while many rued that the ATMs have run out of ...,neutral
473,473,"March 06, 2020, Friday",One rupee: The value that foreign brokerages attach to the YES Bank stock,"Macquarie Capital Securities also said if State Bank of India (SBI) decided to buy stake in the bank, they should buy it at Rs 1 ...",neutral
474,474,"March 06, 2020, Friday",SBI board approves exploring 'investment opportunity' in YES Bank,A rescue plan involving SBI and Life Insurance Corporation of India was being discussed and an announcement in this regard might ...,neutral
475,475,"March 06, 2020, Friday","RBI supersedes board of troubled YES Bank, sets Rs 50,000 withdrawal limit","Lender placed under moratorium; withdrawal capped at Rs 50,000; govt, central bank flag governance issues",neutral
476,476,"March 06, 2020, Friday",SBI board gives 'in-principle' approval for investment in YES Bank,"The announcement came hours after Yes Bank was placed under a moratorium, with the RBI capping deposit withdrawals at Rs 50,000 ...",neutral
477,477,"March 05, 2020, Thursday",Yes Bank depositors rush to ATMs but most unable to withdraw cash,"In the residential area of suburban Chembur, one ATM was dispensing cash but had a long queue of anxious depositors",neutral
478,478,"March 05, 2020, Thursday",Fast growth to quick fall: The story of Yes Bank's changing fortunes,Yes Bank has been put under moratorium and may have to take a government-planned bailout.,neutral
479,479,"March 05, 2020, Thursday",SBI Cards IPO subscribed 26 times despite tough market conditions,The 100-million share offering generated close to 2.7 billion bids,neutral
480,480,"March 05, 2020, Thursday",Public sector banks announce share-swap ratios ahead of April 1 merger,Allahabad Bank-Indian Bank deal to be determined,neutral
481,481,"March 05, 2020, Thursday",PSB merger: Indian Bank announces equity exchange ratio with Allahabad Bank,The government had in August last year announced plans to merge 10 public sector banks (PSBs) into four,neutral
482,482,"March 05, 2020, Thursday",Here's the full text of RBI's statement on Yes Bank moratorium,The central bank has appointed former SBI CFO Prashant Kumar as the Yes bank's administrator,neutral
483,483,"March 05, 2020, Thursday",Withdrawal limit to 'govt bailout': 10 points about Yes Bank's troubles,Yes Bank has been placed under moratorium and the government is reportedly planning a rescue plan involving a capital injection ...,neutral
484,484,"March 05, 2020, Thursday","Govt puts Yes Bank under moratorium; withdrawals limited to Rs 50,000",This has been done to quickly restore depositors' confidence in the bank. The scheme for reconstruction and amalgamation of bank ...,neutral
485,485,"March 05, 2020, Thursday",Access to funding improves for NBFCs but not yet at pre-IL&FS level,Debt capital markets continue to shy away from the shadow banking sector,positive
486,486,"March 05, 2020, Thursday","Yes Bank put under moratorium, withdrawals capped at Rs 50,000","The RBI removed Yes Bank's board and appointed Prashant Kumar, a former chief financial officer of the State Bank of India (SBI), ...",neutral
487,487,"March 05, 2020, Thursday","RBI imposes moratorium on Yes Bank, caps withdrawals at Rs 50,000","Earlier in the day, sources said SBI along with some other financial institutions would bail out capital-starved Yes Bank, with ...",neutral
488,488,"March 05, 2020, Thursday",Taxpayers will be 'big casualty' if govt bails out Yes Bank: Macquarie,"Over the past few months, YES Bank has struggled to raise capital - nearly $2 billion - it desperately needs to stay above ...",neutral
489,489,"March 05, 2020, Thursday",RBI Deputy Governor Vishwanathan to quit by Mar 31 over health issues,"While the Reserve Bank has accepted his request to be relieved by March 31, the same has to be accepted by the Cabinet as well, ...",neutral
490,490,"March 05, 2020, Thursday","Non-bank lenders defying caution, growing riskier unsecured loans: Report","The troubled non-bank lenders' segment is ""defying caution"" and growing the riskier unsecured loans portfolio at a pace of 25 per ...",positive
491,491,"March 05, 2020, Thursday",HSBC files winding up plea in Singapore court against IL&FS subsidiary,"As per a notice published in Singapore's government gazette on March 3, HSBC filed its application for winding up of ITNL ...",neutral
492,492,"March 05, 2020, Thursday",Bombay HC dismisses Chanda Kochhar's writ petition against ICICI Bank,Court accepts the bank's stance that Kochhar's petition has no legal basis as the lender is a private banking company and the ...,neutral
493,493,"March 05, 2020, Thursday",Bombay HC rejects Kochhar's plea against her termination from ICICI Bank,ICICI Bank sought dismissal of Kochhar's petition,neutral
494,494,"March 05, 2020, Thursday",Govt approves plan for SBI-led consortium to buy stake in YES Bank: Reports,SBI has also been authorised to pick other members of the consortium,neutral
495,495,"March 05, 2020, Thursday","Merger of 10 banks into 4 to come into effect from Apr 1, says Sitharaman",Integration of balance sheets to be effective from April 1; bank boards to meet soon to finalise the share swap ratio,neutral
496,496,"March 05, 2020, Thursday","HDFC cuts lending rate by 5 bps for salaried people, effective from March 9","HDFC cuts lending rate by 5 bps for salaried people, effective from March 9",neutral
497,497,"March 05, 2020, Thursday",Coronavirus: Irdai asks insurers to design products covering treatment cost,"The regulator has also made it clear that in existing products where the cost of hospitalisation is covered, insurers have to ...",neutral
498,498,"March 04, 2020, Wednesday",HDFC Bank recasts panel to find Puri's successor; Mistry replaced by Karnad,Keki Mistry has been replaced by Renu Karnad of the bank's parent HDFC in the search panel,neutral
499,499,"March 04, 2020, Wednesday",Moody's downgrades BoB's baseline credit assessment on asset quality issues,Agency also cites deteriorating operating environment for decision; affirms lender's domestic and foreign bank deposit ratings,negative
500,500,"March 04, 2020, Wednesday",YES Bank in talks with mutual funds for raising up to $500 million,"If the private bank is able to raise funds in this round, it would get some breathing space",neutral
501,501,"March 04, 2020, Wednesday",FM Sitharaman introduces bill that aims to prevent a PMC Bank-like crisis,"The Banking Regulation (Amendment) Bill, 2020, which comes in the backdrop of PMC Bank scam, seeks to strengthen co-operative ...",neutral
502,502,"March 04, 2020, Wednesday",Digit Insurance comes up with cover amid deadly coronavirus spread,The maximum coverage that the product assures is to the tune of Rs 2 lakh,neutral
503,503,"March 04, 2020, Wednesday","PNB Housing Finance to raise Rs 1,700 crore in equity through QIP","The housing finance company, however, did not specify timing for the QIP offering",neutral
504,504,"March 03, 2020, Tuesday","Monitoring coronavirus impact on markets, ready to take action: RBI",The outbreak of coronavirus and subsequent spread to geographies across the world has adversely affected the financial markets,neutral
505,505,"March 03, 2020, Tuesday","Banks to lend Rs 1.85 trn to housing, auto, MSMEs in next 6 months",The recently conducted Long Term Repo Operations (LTRO) by RBI are aimed at providing additional durable liquidity to the Banking ...,neutral
506,506,"March 03, 2020, Tuesday",Maha Bank to raise up to Rs 600 cr via bonds on private placement basis,"To comply with Basel-III Capital Regulations, banks need to improve and strengthen their capital planning processes",neutral
507,507,"March 03, 2020, Tuesday",Why foreign lenders are rushing to invest in Indian retail banking space,"Easing regulations and a surge in online banking are driving the change, with several overseas lenders increasing investment ...",neutral
508,508,"March 02, 2020, Monday",RBI nudges public sector banks to take steps to increase credit growth,Bank credit growth declined to 8.5 per cent in January from 13.5 per cent in the year-ago period,neutral
509,509,"March 02, 2020, Monday","Post merger, Allahabad and Indian Bank to have 10,000 branches in 2 years","At the end of December 2019, the total business of Allahabad Bank was close to Rs 3.94 trillion, while that of Indian Bank was ...",neutral
510,510,"March 01, 2020, Sunday",Bank credit growth dips to 8.5% in January from 13.5% year-ago: RBI data,Growth in advances to the services sector decelerated to 8.9 per cent from 23.9 per cent in January 2019,negative
511,511,"February 29, 2020, Saturday",Unions defer 3-day strike as banks raise pay hike offer to 15% from 12.5%,Banking unions had given a call for a three-day strike from March 11,neutral
512,512,"February 29, 2020, Saturday",Allahabad Bank lowers interest rate on external benchmark-linked products,"While the RBI's repo rate remains unchanged at 5.15 per cent, the three-month MIBOR (Average) has reduced to 5.75% from 6.15%",neutral
513,513,"February 28, 2020, Friday","Analysts expect RBI to cut rates on growth concerns, coronavirus scare",Analysts expect an impact on India due to raw material shortages likely to disrupt supplies for key industries,negative
514,514,"February 28, 2020, Friday",SBI expects corporate credit offtake growth between 5 to 7% during Q4,"Sectors like thermal power, NBFCs and commercial real estate sector are currently facing some stress",neutral
515,515,"February 28, 2020, Friday","SBI sees green shoots in roads, city gas distribution and renewable sectors","PSUs seen as drivers of credit demand, which the bank sees growing by 5-7%; No major impact of coronavirus yet",neutral
516,516,"February 27, 2020, Thursday",Sumant Kathpalia succeeds Romesh Sobti as IndusInd Bank MD & CEO,"Kathpalia will succeed current MD & CEO Romesh Sobti, who has been at the helm of affairs for over a decade now. Sobti's term as ...",neutral
517,517,"February 27, 2020, Thursday","IBA, United Forum of Bank Unions to meet on Saturday to close wage pact","The talks come just ahead of the mergers of four sets of state-run banks, effective from April 1",neutral
518,518,"February 27, 2020, Thursday",PFRDA chief mulls separate trust to manage private sector pension funds,Many other pension schemes in the market currently are unregulated,neutral
519,519,"February 27, 2020, Thursday",Sebi amends the guidelines for intermediaries operating at GIFT City,"Besides, the watchdog has changed the guidelines for reporting of financial statements by issuers listing their debt securities ...",neutral
520,520,"February 27, 2020, Thursday",India Post Payments Bank reaches milestone of 20 million customers,"On average, IPPB has been opening and maintaining a run rate of 33 lakh accounts per quarter.",neutral
521,521,"February 27, 2020, Thursday","Axis Bank appoints Puneet Sharma as CFO, to take charge from March 6","Axis Bank on Thursday said its board has approved appointment of Puneet Sharma as Chief Financial Officer (CFO).
His appointment ...",neutral
522,522,"February 27, 2020, Thursday",IndusInd Bank CEO race gets interesting as Tata Capital's Sabharwal enters,No other bank in the country has almost its entire top brass so closely associated with its helmsman throughout the larger part ...,neutral
523,523,"February 26, 2020, Wednesday","Merger of public sector banks on schedule, says Nirmala Sitharaman","But in a meeting with the brass, Sitharaman didn't discuss the merger process,said a banker",neutral
524,524,"February 26, 2020, Wednesday","BS Insurance Round Table 2020: Predatory pricing slammed, sandbox lauded","Fighting for market share via outpricing is lazy; industry should revisit the way it looks at the customer, offer better claim ...",neutral
525,525,"February 26, 2020, Wednesday",Loans for medium enterprises must be linked to external benchmarks: RBI,"With respect to micro and small enterprises, floating rate loans are already linked with external benchmarks",neutral
526,526,"February 26, 2020, Wednesday","Merger of public sector banks on schedule, says Nirmala Sitharaman","""We are on the course on bank mergers... lot of core banking operations regarding the merger are currently going on""",neutral
527,527,"February 26, 2020, Wednesday",Bandhan Bank to add 250 banking outlets by the end of this financial year,"Move follows relaxation given by RBI to expand network. Earlier, the regulator had imposed curbs on lender for not meeting ...",neutral
528,528,"February 26, 2020, Wednesday","Hit by technical glitch for 12 hrs, RTGS, NEFT transactions restored at RBI",Transactions via NEFT and RTGS were affected for almost 12 hours beginning Monday midnight,neutral
529,529,"February 26, 2020, Wednesday","Gross credit offtake may see a 200-300 bps rise in FY21, says CRISIL","Bank loans to corporate houses, excluding bank loans to NBFCs, is expected to remain subdued in FY20",positive
530,530,"February 26, 2020, Wednesday",Simplex Projects case: Bank of Baroda moves SC against Calcutta HC's order,The matter pertains to a bank guarantee of Rs 6.97 crore furnished by BoB to Indian Oil Corporation (IOC) on behalf of Simplex ...,neutral
531,531,"February 25, 2020, Tuesday","Explained in 3 charts: Environment remains challenging for NBFCs, MSMEs",RBI has announced an extension of the one-time restructuring scheme for MSMEs,negative
532,532,"February 25, 2020, Tuesday",Time to review BR Act as pvt banks struggle for top independent directors,Private banks are struggling to get top-class independent directors on their boards,negative
533,533,"February 25, 2020, Tuesday","Bandhan Bank gets RBI relief on opening of branches, subject to conditions","The bank has been allowed to open new branches, provided 25% of all new banking outlets opened in a financial year are in ...",neutral
534,534,"February 25, 2020, Tuesday",RBI announces 2 LTROs for three-year tenors worth Rs 250 bn in March,"The reversal date of LTRO on March 2, 2020 is March 1, 2023 while for LTRO to be conducted on March 9, 2020, it will be March 7, ...",neutral
535,535,"February 25, 2020, Tuesday","Soon, you will be charged even for failed transactions at Axis Bank ATMs",The proposed fee will be Rs 25 per transaction; the bank has uploaded a notice on its website listing this and three other ...,neutral
536,536,"February 25, 2020, Tuesday",Assam continues to be a pain point for MFIs as defaults remain high,"The portfolio at risk (PAR) for the industry for repayment between 31 and 180 days stood at 1.5 per cent, which was 50 per cent ...",negative
537,537,"February 25, 2020, Tuesday",Asian Development Bank lists masala bonds worth Rs 850 crore on India INX,ADB's masala bonds are listed on both Luxembourg exchange and India INX,neutral
538,538,"February 25, 2020, Tuesday","HDFC Bank aims to become go-to bank for start-ups with grants, platforms","HDFC Bank aims to be a dominant and
go-to bank for startups, a key official said on Tuesday.
Close to 9,000 start-ups are ...",neutral
539,539,"February 24, 2020, Monday","RBI receives Rs 1.23-trn bid for Rs 25,000-cr long-term repo operations","In the auction for three-year maturity liquidity operations made last week, the RBI had received bids worth Rs 1.94 trillion for ...",neutral
540,540,"February 24, 2020, Monday",SBI stock basking in optimism; stakes too high to disappoint investors,Optimism on the stock is highest in 15 years; easing of corporate sector stress in Q3 gave the much-needed comfort,negative
541,541,"February 24, 2020, Monday","Banks facing slow credit offtake, flow to realty needs to improve: RBI Guv","Real estate developers, battling a prolonged slowdown in demand, are struggling to raise funds to construct or complete projects",positive
542,542,"February 24, 2020, Monday",CRISIL downgrades PNB Housing Finance's deposits rating to 'AA+' from 'AAA',PNB Housing's fund-raising ability has remained intact over the last 6-9 months and it is continuing to maintain high on-balance ...,negative
543,543,"February 23, 2020, Sunday",Time for Int'l community to build new tax regime embracing digitization: FM,The finance minister emphasised on the need for a closer collaboration between revenue agencies to investigate tax affairs of ...,neutral
