,Date,Title,score1
227,"October 06, 2019, Sunday","India's shadow bank crisis is over, lenders more positive: IndusInd Bank",positive
228,"October 05, 2019, Saturday","Waryam Singh, former chairman of PMC Bank, arrested by Mumbai Police.Joy Thomas in police custody till Oct 17, lawyers say he's the fall guy.RBI monetary policy: Bankers see rates falling by 25-40 bps before March",neutral
229,"October 04, 2019, Friday","In talks with investors for equity infusion: Reliance Home Finance.RBI won't let any cooperative bank collapse, banking sector stable: Das.Aggrieved HDIL home-buyers seek PM Modi intervention to resolve distress.Former MD Joy Thomas arrested as crackdown in PMC Bank scam continues.No need to panic as banking sector remains sound, stable: Shaktikanta Das.Wadhwans sent to police custody till October 9 in PMC Bank scam.RBI eases lending-related restrictions, increases limits for NBFC-MFIs.No call on Lakshmi Vilas Bank-Indiabulls merger made yet: RBI Governor.RBI increases lending limit of MFIs to Rs 1.25 lakh from Rs 1 lakh.RBI monetary policy: Here's what experts say about the latest rate cut.'Sitting ducks': $63 bn of zombie buildings sound alarm for Indian banks.Rana Kapoor's man Friday Rajat Monga quits Yes Bank; stock rises.Loan 'mela' comes at a time when red lights are flashing in RBI's FSR",neutral
230,"October 03, 2019, Thursday","Colour but no credit: Loan 'mela' kicks off, but without spot approvals.YES Bank stock jumps nearly 33% as concerns over promoter pledge ease.PMC Bank scam: EOW arrests HDIL's Rakesh Wadhawan, Sarang Wadhawan.RBI relaxes ban for those looking to buy stake of foreign firms in India.RBI increases PMC bank depositors withdrawal limit to Rs 25,000.Shadow bank woes may continue to haunt stock market after disrupting rally",positive
231,"October 02, 2019, Wednesday","Caught in the headlights: Here's a look at three big rip-offs in UCBs.What is the way forward for UCBs now? Step back and revisit RBI suggestions.High interests driving depositors to co-op banks even amid bankruptcy.In NPAs race, Urban Cooperative Banks are no worse than commercial banks.The last boarding call: Time running out fast for urban co-operative banks.Yes Bank bonds slump by record as concerns loom on stress in credit markets.LVB independent director resigns after RBI action, cites personal reasons.Yes Bank shrinks its loan book by 4% to enhance capital efficiency.Banks to hold first phase of 'loan mela' across 250 districts on Thursday.ICAI to check role of auditors in PMC bank financial irregularities.PMC Bank's suspended MD Joy Thomas blames 'superficial auditing' for mess.34 functional teams formed to smoothen process of PNB, OBC, UBI merger.Rana Kapoor's family stake in YES Bank slumps to 1.6%; stock falls 23%.PMC Bank crisis: Ministry of Corporate Affairs to inspect books of HDIL.PMC Bank depositors reach RBI gates, seek meeting to lift withdrawal cap",neutral
232,"October 01, 2019, Tuesday","RNAM directs trustees to sell remaining pledged shares of Rana Kapoor.DHFL stock declines 20% over HDIL and crisis-hit PMC Bank concerns.Investors fear NBFCs, small co-op banks may trip financial system: Analysts.Equitas appoints JM Financial, Edelweiss, and IIFL for IPO of SFB unit.Banking system is safe: RBI tells depositors again as PMC crisis deepens.Central Bank withdraws insolvency application against Aban Offshore.Bank of Baroda partners Agra-based NBFC Paisalo Digital for micro lending.RBI's PCA has no connection with FIR filed by EOW: Lakshmi Vilas Bank.Bank of Baroda to raise Rs 5,000 cr through bonds, employee stock option.Reports of our exposure to HDIL and PMC Bank are misleading: DHFL.RBI begins policy review meet; rate cut on cards to boost economy.Can a land bank be the solution to India's huge shadow bank crisis?.Mumbai police file FIR in PMC Bank fraud case; ED may initiate probe soon.Huge cash withdrawals seen at crisis-hit PMC Bank ahead of RBI clampdown",neutral
233,"September 30, 2019, Monday","Indian banks are most vulnerable in Asia-Pacific economies, says Moody's.YES Bank stock falls 15% as investors worry over HDIL, DHFL exposure.RBI's June 7 circular raises NPA woes for merging public sector banks.HDFC bank takes on e-commerce giants with discounts on 1000 major brands.PMC Bank doesn't pose a systemic threat but it is a canary in the coal mine.HDFC Capital Advisors looks to raise $1 billion in affordable housing fund.RBI may not give extension to Romesh Sobti, Aditya Puri after terms end.Crisis-hit PMC Bank used dummy accounts to escape RBI's attention.RBI got a whiff of evergreening at Punjab and Maharashtra Co-operative Bank",negative
234,"September 29, 2019, Sunday",PMC Bank administrator to move EoW against former management soon.RBI wanted PMC chairman Waryam to be sacked in 2018 for irregularities.PMC's HDIL loan at 73% of total loan book: Ex-MD Thomas in letter to RBI,neutral
235,"September 28, 2019, Saturday",Lakshmi Vilas Bank gets shareholders' nod to raise up to Rs 1000 cr.Reserve Bank puts Lakshmi Vilas Bank under PCA framework over high NPAs.PMC Bank set to file FIR against sacked managing director Joy Thomas,neutral
236,"September 27, 2019, Friday",RBI's new norms can bring more efficiency in a bank's liquidity management,positive
237,"September 26, 2019, Thursday","PMC Bank chairman Waryam Singh's connection with HDIL runs deep.RBI hikes withdrawal cap to Rs 10,000 from Rs 1,000 for PMC Bank customers.New framework to bail out stressed financial companies likely today.RBI panel suggests longer-term repo operations to manage liquidity.RBI hikes withdrawal limit to Rs 10,000 from Rs 1,000 for PMC depositors.Reserve Bank officers have Rs 105 crore fixed deposit in PMC Bank.FM to discuss external benchmarking of loans, MSME credit with pvt bankers.Depositors' money safe: PMC has enough liquidity, assures suspended MD.Axis Bank raises Rs 12,500 crore via QIP to enhance capital adequacy.Strong investor interest for capital raising plans, says YES Bank",positive
238,"September 25, 2019, Wednesday","PMC Bank's liquidity profile is good, depositors need not worry: RBI.SBI prices home loans at 265 bps over repo rate from October 1.RBI denies rumours of bank closures after curbs on local lender spark fear.'My money is gone now': Customers panic as RBI curbs activities at PMC Bank.Banks must appropriately price in credit risk: Ex-RBI deputy guv Thorat",neutral
239,"September 24, 2019, Tuesday","An account closes: Allahabad Bank looks back with nostalgia before merger.Cost of refinancing loans against property is on the rise for shadow banks.Bank mergers may bring down the curtains for old-world forex brokerages.Linking loans to external benchmark: Why it won't be easy for banks.As NPA resolution crawls, banks stare at spike in credit cost: India Rating.RBI places restrictions on Punjab & Maharashtra Co-op Bank's biz for 6 mths.Trade unions of public sector banks call off two-day nationwide strike",neutral
240,"September 23, 2019, Monday","SBI to launch co-lending of loans with NBFCs in next 30 to 40 days.SBI to use repo rate as benchmark to price MSME, retail loans from Oct 1.Viral Acharya wants Indian banks to learn this lesson from shampoo makers.Repo rate to be external benchmark for floating rate loans from Oct 1: SBI.Loan camps by public sector banks, NBFCs in 200 districts from October 3",neutral
241,"September 22, 2019, Sunday","SBI may soon roll out co-lending model NBFCs in line with RBI guidelines.HDFC Bank to organise 1,000 grameen loan melas in next 6 months",neutral
242,"September 21, 2019, Saturday","Armed with Crisil's AAA rating, NHB to raise Rs 4,000 cr via NCDs.Utkarsh Small Finance Bank aims at Rs 500-600 cr IPO by Dec 2020",neutral
243,"September 20, 2019, Friday","RBI tightens norms for banks, up penalties for failed ATM transactions.12% annual credit growth needed to reach $5 trillion mark by 2025: SBI MD.RBI in talks with govt to ensure mega bank mergers are non-disruptive: Das",neutral
244,"September 19, 2019, Thursday","Banks will have to take more haircuts in NBFC resolution process: Das.Three IL&FS entities turn green after signing terms sheet with lenders.Bank stake sales in insurance, mutual fund subsidiaries hit a wall.No stressed asset of MSME to be declared NPA till Mar 31, 2020: Sitharaman.Rate cut, infusion of liquidity will end credit crisis: Edelweiss chairman",neutral
245,"September 18, 2019, Wednesday","RBI unlikely to extend October 1 deadline for repo-linked loans.RBI plans to structure loan rates of NBFCs, housing finance companies.CVC sets up panel to examine bank frauds of over Rs 50 cr, suggest actions.Fund raising via NCDs drop 67% on low investors' confidence in Apr-Aug FY20.Indian Bank gets board nod to raise Rs 5,000 cr, merge with Allahabad Bank",negative
246,"September 17, 2019, Tuesday",Irdai in talks with insurance firms hit by govt's mega PSB merger drive.Podcast: Nirmala Sitharaman's various moves to help revive the economy.A bank's race against crisis has served a warning to Indian banking,neutral
247,"September 16, 2019, Monday","Mega merger of PSBs: What happens to their names, logo and identity?.NextGen PSBs: Allahabad Bank board approves merger with Indian Bank.SBI Chairman slams 'selfish' private sector bank for Altico crisis.Why has India's mega public sector banks merger plan failed to lure funds?.Warburg Pincus may buy Andhra Bank's 20.5% stake in IndiaFirst, says report.Debt of NBFCs fast catching up with non-finance companies: Details here",neutral
248,"September 15, 2019, Sunday",SBI will move RBI to offer fixed-floating rate home-loans: Chairman.SBI drops IPO plans for general insurance arm; card JV to hit market in Q4,neutral
249,"September 14, 2019, Saturday",On-tap licence regime: RBI doubles SFB net worth floor to Rs 200 crore,neutral
250,"September 13, 2019, Friday","RBI-led review could be a painkiller for liquidity-starved shadow banks.YES Bank stock slide, promoters seek intervention from Sebi and RBI.RBI proposes Rs 200 cr minimum equity capital to set up small finance bank.Can banks survive negative rates, instability in global financial system?.Repo-linked loans: Home buyers to see higher outgo in initial years",neutral
251,"September 12, 2019, Thursday","NBFC crisis: Now, DHFL, Altico Capital default on bond repayments.Finance secy Rajiv Kumar to hold review meeting with public sector banks.Reserve Bank increases banks' loan exposure limit to single NBFC.Bank credit growth slumps to 10.24%, deposits at 9.73%, shows RBI data.RBI cuts risk weight on consumer credit, including personal loan, to 100%.Bank unions to go on two-day strike from Sept 20 to protest mega merger.19 lenders file 529 wilful default cases worth Rs 18,500 cr in June quarter.ECB cuts rates, restarts QE to fight slowdown as Draghi era ends.ECB introduces Quantitative Easing from Nov 1 at 20 bn Euro/month.Bank of Baroda seeks to sell Dena Bank headquarter in BKC for Rs 530 cr.Merger of banks will not negatively impact our business: Infosys Finacle.Banks target weaker borrowers as credit growth slips: Why it's a risky bet.10-year bond yields rise, may become tough for banks to pass on rate cuts",negative
252,"September 11, 2019, Wednesday","UP co-op banks to lend Rs 3,221 cr to sugar mills ahead of crushing season.Tired of ATM frauds? Soon, you can withdraw money from ATMs using UPI.Corporate bond issuances on the upswing, reach Rs 5.45 trillion till August",neutral
253,"September 10, 2019, Tuesday","From UK to India, drivers of digital payments explained in three charts.It's equity raising time for NBFCs, but capital boom may not lift all boats.IL&FS gets 14 bids worth Rs 13,000 cr for 10 domestic road assets.Yes Bank nears deal to sell minority stake to global tech firm, says CEO.Aptus raises Rs 880 cr from Steadview Capital, Sequoia, Malabar Investments",neutral
254,"September 09, 2019, Monday","SBI cuts MCLR by 10 basis points, slashes term deposit rates by 20-25 bps.State Bank of India cuts MCLR By 10 bps effective September 10.Finance ministry dept's fine on banks an afterthought: Delhi High Court.Bank of Baroda plans to raise capital up to Rs 3,000 cr via tier-II bonds",neutral
255,"September 08, 2019, Sunday","Customer to IT integration, banks to follow BoB's footsteps during merger.Merger of public sector banks: Has governance been given short shrift?.18 PSBs hit by 2,480 cases of fraud of over Rs 31,000 cr in Q1: RTI.PNB puts up 11 NPA accounts for sale to recover dues worth Rs 1,234 cr.SBI sought 147 look out circulars in bank fraud cases in last 5 month: RTI.PSB mergers nearly done, 12 banks almost right for India: Finance Secy.World's worst bad-loan mess set to worsen on India's cash crunch.Swiss data on closed bank accounts can give clue to Indians' hidden wealth",neutral
256,"September 07, 2019, Saturday",The largest rewrite of the banking history and merger's cultural traps,neutral
257,"September 06, 2019, Friday","Amalgamation of 10 public sector banks likely to take place on April 1.Repo-link effect: Banks likely to raise risk spread, say analysts",neutral
258,"September 05, 2019, Thursday","Pay by app: The risks and rewards as Indians chuck cash, go digital.Punjab National Bank board approves amalgamation with OBC, United Bank.Aditya Birla Capital to raise Rs 2,100 crore from promoter, PE firms.Banks form GM-level teams for merger ease, may hire advisory firms.RBI mandates banks to link fresh retail loans to external benchmark",neutral
259,"September 04, 2019, Wednesday","Secondary loan mkt may completely change India's banking landscape: Experts.Canara Bank to PNB, Moody's affirms rating for five PSBs on merger decision.Link all new floating-rate home, auto loans to repo from Oct: RBI to banks.Moody's upgrades PNB's outlook to 'positive' from 'stable'.ICICI bank loans get cheaper! Lending rates cut by 10 bps across maturities.Yes Bank settles 'selective disclosure' of asset quality case with Sebi.Why India could miss fiscal deficit target for the current financial year.Canara Bank board to meet next week over Rs 9,000-cr capital infusion.Confidence crisis at home forcing NBFCs to cough up more for funds overseas.Bank of Baroda to share its merger experience with 10 public sector banks",positive
260,"September 03, 2019, Tuesday","RBI task force for allowing FPIs to directly purchase distressed loans.IDBI Bank to get Rs 9,300-crore capital infusion from promoters.Bank mergers cast shadow on wage negotiations between IBA and unions.RBI task force calls for central corporate loan contract registry.Mega merger of public sector banks is a good move, but ill-timed: Analysts.ICICI Bank targets 23% retail loan growth at Rs 4,900 cr in UP during FY20.Latest bank mergers unlikely to revive growth, profitability: Credit Suisse.Indian Bank expects to merge with Allahabad Bank by end of FY20: Official.Will establish IOB as bank focused on South India: MD and CEO Karnam Sekar.ARC role in resolution may help pare NPAs to Rs 9.1 trn by March: Crisil.Bank merger will slow down loan growth, rivals likely to benefit: Analysts",neutral
261,"September 02, 2019, Monday","Banks to seamlessly share data on frauds through dedicated exchange.From return on assets to employee cost, private banks surpass PSBs.Stress in the agriculture sector is significant, says Punjab & Sind Bank MD.Forensic audits business expected to boom as RBI prepares new norms.Fintech panel suggest legal framework to protect digital services consumers.25-quarter low GDP growth to hit bank earnings, increase asset quality pain.Banks meet on Sep 4 to discuss merger; SBI and BoB to share expertise.DBS lowers India's FY20 GDP growth to 6.2%; expects another rate cut in Dec.Indian Bank adopts repo rate as external benchmark for asset products.Bank scam: SC refuses to interfere with HC order for FIR against Ajit Pawar.No silver bullet: Benefits of bank mergers to be visible only in long term.Branch rationalisation to HR challenge: Brokerage view on PSB consolidation.Govt's mega bank overhaul may hurt NPA clean-up, fight against growth slump.Latest PSB merger could create Rs 5,000 cr business in IT outsourcing",negative
262,"September 01, 2019, Sunday",Market salary for a few in a public sector bank could be a chimera.Not a single job will be lost due to merger of banks: Nirmala Sitharaman.PSBs consolidation building block for $5 trillion economy: Finance secy,neutral
263,"August 31, 2019, Saturday","How technology integration, regional synergies drove bank merger plan.Bank of India introduces repo-based interest rate for select loan products.Govt accepts State Bank of India MD Anshula Kant's resignation.Bank employees stage protest against govt's decision to merge PSBs.India Ratings downgrades YES Bank to 'IND A+', says 'outlook is negative'.Merger will force branch closures, hit customer service: staff association.PNB to hold meeting on Sept 5 to consider merger with OBC, United Bank.Merger of PSBs: Move to improve efficiency, bargaining power, says industry.Merger will put together banks' strength: Andhra Bank's J Packirisamy.Merger will create fourth largest public sector bank: Syndicate Bank MD.FM Sitharaman's bank mergers step will make resolution process easier.There will be no loss of employment after merger of PSBs: Sankara Narayanan",positive
264,"August 30, 2019, Friday","How the mergers will impact your bank accounts, debit cards and EMIs.Implications of bank mergers: Overhaul of subsidiaries to cause pain.NextGen PSBs: Govt unveils mega bank mergers to revive economic growth.Mergers lack logic, will destabilise finance and economy more: Bank unions.I felt time was right for me to go: LVB MD & CEO Parthasarathi Mukherjee.SBI raises up to Rs 3,105 cr by issuing bonds under Basel-III regulations.PSB merger on expected lines; buy stocks for the long-term: Analysts.FM unveils merger of 10 govt banks to revive economic growth from 5-yr low.Amalgamating 10 govt banks into 4 entities in mega consolidation move: FM.DHFL board approves plan to convert debt into equity, sell assets.Government creates banking behemoths to boost India's flagging economy.IDBI Bank offers repo-linked home, auto loans at interest rates from 8.30%.Public banks seek LIC funding as deadline to reduce govt stake to 75% nears.Public sector banks merger: Modi govt to announce big bang plan soon.NBFC funding to commercial sector plunges 20% in FY19: RBI annual report",neutral
265,"August 29, 2019, Thursday","RBI report reveals changes that helped boost dividend transfer to govt.Microfinance sector grows at 42.9% in Q1 FY20 as asset quality deteriorates.After corporate debt, retail loans face stress amid unemployment, slowdown.For agricultural loans, bankers call for longer repayment period",negative
266,"August 28, 2019, Wednesday","Moody's cuts YES Bank long term foreign currency issuer rating; stock falls.Moody's downgrades YES Bank's ratings, changes outlook to negative.Pressure on RBI to transfer reserve endangers economic stability: AIBEA",negative
267,"August 27, 2019, Tuesday","RBI to move to April-March accounting yr, restrict interim dividend payout.From DHFL to Gammon India, here're LIC's exposure to default-rated debts.HDB Financial Services to raise Rs 15,000 cr via non-convertible debentures.RBI's fund transfer eases Centre's gross tax revenue growth target to 16%.Private sector banks' pledged shares exposure up by a third since January.Explained: What is the fuss all about in RBI's fund transfer to govt?.RBI's bonanza to give govt ammunition to fight slowdown, boost capex.RBI's bonanza is an umbrella to a govt that denied existence of clouds.Indian banks' recovery will see delay on NBFC, corporate stress: S&P.After nearly 8 decades, RBI to change its accounting year to April-March.Explained: How Bimal Jalan committee report saw the light of day",neutral
268,"August 26, 2019, Monday","Linking lending and repo rates may eat into bank's profitability.RBI accepts Jalan panel report, okays Rs 1.76 trn surplus transfer to govt.Bank of Baroda wants to buy Rs 6,000 crore of securitised NBFC loans in Q2.Fincare SFB bets on micro finance, gold loans, eyes 700 branches by March",neutral
269,"August 25, 2019, Sunday","RBI board to meet today; likely to take up Bimal Jalan committee report.Banks may restart lending after Rs 70,000 cr boost but with caution.Cheaper loans: Bank of Maharashtra to link retail loans with repo rate.CVC sets up advisory board to examine banking frauds above Rs 50 cr.HDFC bank says consumption growth to continue despite economic slowdown.Business energy to power India to become $5-trillion economy: RBI Governor",neutral
270,"August 24, 2019, Saturday",RBI to soon take steps to boost bond trading: FM Nirmala Sitharaman,positive
271,"August 23, 2019, Friday","Govt to infuse Rs 70,000-cr capital into public sector banks: FM Sitharaman.Govt to upfront infuse Rs 70,000-cr capital into public sector banks.Bank of Baroda to raise Rs 5,500 crore capital through bonds, ESOP.State Bank of India cuts interest rates on fixed deposits up to 0.5%",neutral
272,"August 22, 2019, Thursday",Why this may be time to thoroughly redesign Indian banking system.Number of NBFCs drops to lowest in 10 yrs in India as crackdown accelerates,negative
273,"August 21, 2019, Wednesday","Minutes of MPC meeting: Fixing weak economic growth remains top priority.Bank unions revise demands, to seek pay rise of 20% at IBA talks.Now, you can allow up to Rs 2,000 of recurring payments via digital wallets.State Bank of India plans to open nearly 10 lakh YONO Cash Points.Banks may seek consent before allowing transfer of funds to your account.RBI to issue new guidelines on salaries of private, foreign bank executives.Indian banks trail global peers on e-sale capabilities, finds BCG study",neutral
274,"August 20, 2019, Tuesday","Prospects of floating lending rate, fixed deposits spook bankers.Win for Wall Street as Trump revamps Volcker rule on speculative trading.IL&FS board seeks NCLT nod to sell wind assets to Orix Corp for Rs 4,800 cr.Link bulk deposits to repo for better transmission of interest rates: SBI.Soon, get home and car loans online in 59 minutes from state-run banks.Banks Board Bureau invites applications for top posts of 4 big PSU banks.RBI asks banks to resolve stressed assets on time to extract best value",neutral
275,"August 19, 2019, Monday","NBFCs continue to hold major share in retail loans despite liquidity crisis.Linking loans to repo not the only way for faster transmission: Axis Bank.15th Finance Commission may cut number of centrally-sponsored schemes.Time to formally link rates to repo, says RBI Governor Shaktikanta Das.SBI aims to eliminate debit cards to promote digital payment solutions.Cash-strapped DHFL makes fresh default on Rs 1,571-crore bond repayments.Govt removes debenture reserve requirement for HFCs, NBFCs, listed firms.FinMin considers stress fund for infra sectors: Urban Affairs Secretary.RBI Guv Shaktikanta Das rules out asset quality review of NBFCs for now.After SBI, RBI Guv says all banks should link loans, deposits to repo rate.Banks may take majority stake in DHFL, convert part of debt into equity.Credit rating agencies likely to get access to loan default details",neutral
276,"August 18, 2019, Sunday","YES Bank's growth secure with balance sheet repair, QIP: Ravneet Gill.150,000 bankers to discuss how to make India $5-trillion economy by 2024.SBI extends credit period to 75-day for auto dealers facing slack in demand.Banks Board Bureau invites applications for post of CEO, MD in PNB, BoI",neutral
277,"August 17, 2019, Saturday","UBI mulls special loan offers for start-ups, brainstorms on $5-trn GDP goal.Punjab & Sind Bank cuts MCLR by 20 basis points for various tenors.Govt adopts a new approach to bring reforms in public sector banks",neutral
278,"August 16, 2019, Friday","IL&FS money laundering case: Enforcement Directorate files 1st chargesheet.Now, banks can directly buy gold from depositors for monetisation plan.FinMin asks PSBs to begin consultation process to achieve $5-trn economy.IDBI Bank tanks 9% as Q1 loss widens to Rs 3,801 cr on poor asset quality.Stress in agriculture, MSME sector may impact banks' retail loan portfolios.YES Bank raises Rs 1930 cr through qualified institutional placement route",negative
279,"August 15, 2019, Thursday","NBFC-Microfinance institutions top in market share: Here're the details.Payment fraud registry to alter the way customers take to digital channels.NBFCs will be in goodwill hunting mode for some time to come: Experts.Asset reconstruction companies, banks differ on cleaning up bad debts mess",neutral
280,"August 14, 2019, Wednesday","YES Bank mops up Rs 1,930 crore through qualified institutional placement.IL&FS may not have disclosed bad loans for years: RBI report.IL&FS board submits progress report on group's asset monetisation process.Jalan committee finalises report on RBI reserves; board meet on Aug 23.Union Bank withdraws eviction notices served to residents of Noida society.RBI asks banks not to count failed attempts in 'free ATM transactions'.Banks debited Rs 758 crore from IL&FS accounts despite NCLAT order.SBI proposes to dilute stake in credit card business through IPO route.Increased forced lending to NBFCs can land banks in trouble: Fitch report.63% banks report decline in NPA in infra sector in six months: Ficci-IBA.RBI to come up with revised norms for housing finance companies.RBI finalises regulatory sandbox framework for innovation in fintech firms.Banks to get two-year guarantee to purchase 'pooled assets' of NBFCs",neutral
281,"August 13, 2019, Tuesday","SFBs likely to tweak shareholding pattern ahead of listing deadline.Northern Arc Capital, GAWA Capital Partners raise Rs 106 cr for NBFCs",neutral
282,"August 12, 2019, Monday",RBI unlikely to vote in favour of overseas sovereign bond in Aug 16 meet,neutral
283,"August 11, 2019, Sunday","From Axis Bank to RBL, private banks have their task cut out in FY20",neutral
284,"August 10, 2019, Saturday","YES Bank appoints Anurag Adlakha as chief financial officer, replaces Ahuja",neutral
285,"August 09, 2019, Friday","Public sector banks volunteer to link their lending rates to repo.United Bank of India to link retail loan rate with repo rate; to lower MCLR.Canara Bank cuts lending rates by 10 basis points across all tenors.Banks near zero hour on $124-trn flows as fintechs cut their share, margins.Bank of Maharashtra, IDBI Bank cut lending rates by 10 to 15 basis points",neutral
286,"August 08, 2019, Thursday","Rs 3 trn capital infusion cut PSBs' loss, not their credit supply: Report.Oriental Bank of Commerce, IDBI Bank cut MCLR up to 15 basis points.NBFCs lure retail investors with high yields as banks tighten purse strings.City Union Bank Q1 profit up 15% at Rs 186 crore on prudent risk management.RBI may cut another 25 bps before Dec amid concerns over growth: Study.PNB recovers Rs 278-cr minimum balance penalty from poor account holders",positive
287,"August 07, 2019, Wednesday","Hedge funds make a comeback in India; bet on 25 start-ups this year.Soon, transfer or receive money 24x7: RBI removes NEFT time limit from Dec.Banks so far passed on only 29 bps to borrowers of RBI's 75 bps cuts: Das.Indiabulls expects regulator's nod on merger with LVB in 2 months",neutral
288,"August 06, 2019, Tuesday","Govt to take 6 months to divide J&K Bank assets, liabilities and ownership.In a first, Mastercard enables one-time password-less transactions.Tough times for real estate sector, need to find solution: HDFC MD.Indian Bank net profit rises 75% on lower provisioning and higher income",positive
289,"August 05, 2019, Monday","IIFL Finance to raise Rs 1,000 cr through bond issuance for business growth.Moody's again warns YES Bank about ratings for exposure to shadow banks.State Bank of India seeks bids for Videocon's overseas oil and gas assets.RBI monetary policy review: Signalling only via rate cuts is not enough",neutral
290,"August 04, 2019, Sunday",RBI likely to cut policy rate by 25 bps amid concerns of economic slowdown,negative
291,"August 03, 2019, Saturday","RBI slaps penalties on nine banks over delay in reporting of frauds.RBI fines Oriental Bank Rs 1.5 cr for delay in reporting KFA fraud.RBI fines PNB Rs 50 lakh for delay in reporting Kingfisher Airlines fraud.RBI to issue cash management bills of Rs 25,000 crore on August 6.Seven public sector banks fined over violation of RBI's guidelines.RBI tightens fit-and-proper criteria for directors on PSB boards.Reserve Bank bans NBFCs from charging loan foreclosure penalties.Housing finance companies get Rs 10,000-crore liquidity infusion.Basic savings accounts in co-op banks should be made free, says RBI.RBI Governor asks private banks to pass on rate cut benefits faster",neutral
292,"August 02, 2019, Friday",SBI (Shanghai) becomes 1st Indian bank to link up with China payment system.Bond bonanza to help Indian banks battle world's worst bad loan ratio,neutral
293,"August 01, 2019, Thursday","Bank credit up 12%, deposits 10.6%; non-food credit increases 11.1%.Govt to issue overseas sovereign bonds in tranches: FinMin official.RBI allows Bank of China to offer regular banking services in India.Govt invites applications for new RBI deputy governor after Acharya's exit.HDFC reduces prime lending rates on home loans by 10 bps from August 1.Stressed assets funds may return to India after relaxed ECB norms",neutral
294,"July 31, 2019, Wednesday",RBI allows domestic banks to sell NPAs abroad as one-time settlement,neutral
295,"July 30, 2019, Tuesday","Axis Bank Q1 net profit jumps 95% to Rs 1,370 crore; stock falls over 1%.Liquidity in secondary market for G-secs hugely improved in the past decade.Doing away with charge levied on merchants may hurt PoS machines deployment.RBI relaxes external commercial borrowing norms for corporates, NBFCs.SBI tightens lending terms for auto dealers as sector sees downturn: Source.More NBFCs will have to die if India's shadow-banking sector is to survive.Fixed deposit investors likely to feel the pinch after SBI cuts rates",positive
296,"July 29, 2019, Monday","PNB Housing Finance raises Rs 690 crore from IFC through ECB route.Deposit rate cuts at private banks likely to lag State Bank of India.Banning pesky calls from NBFCs for offering loans may not be ideal: RBI.SBI cuts deposit rates sharply, other lenders may follow suit.Slowdown and NBFC crisis pose fresh NPA scare for banks: Moody's.RBI to discuss sovereign bonds on Aug 16 amid risks flagged by economists.SBI slashes deposit rates on various tenors, cut to be effective from Aug 1.PNB Housing Finance raises $100 mn from IFC for affordable housing projects",negative
297,"July 28, 2019, Sunday","Cash-strapped DHFL seeks bankers' approval to restart loan disbursals.ICICI Bank swings into black in first quarter on higher retail loan growth.Govt plans to list 3-4 regional rural banks on stock exchanges this year.RBI report on development of secondary market for corporate loans in Aug.ICICI Bank back in the black in Q1 with net profit of Rs 1,908 crore",neutral
298,"July 25, 2019, Thursday",Banks hire scores of oversight agencies to keep tabs on end-use of loans.Govt's steps to ease NBFC liquidity crisis too short-term: Fitch report,neutral
299,"July 24, 2019, Wednesday","After rising 1,500%, IndusInd bets on microfinance firm buy to extend gains",positive
300,"July 23, 2019, Tuesday","IOB's June quarter loss narrows to Rs 342 cr, from Rs 919 cr last year.Sovereign bond yields to consolidate ahead of monetary policy review: DBS.Viral Acharya ends his RBI stint with a sense of unfinished business.HDFC Bank misses out on key factors in June quarter, stock under pressure",negative
301,"July 22, 2019, Monday","Kotak Mahindra Bank consolidated Q1 net up 23%.Maharashtra tops in ATM frauds, Delhi, Tamil Nadu, Karnataka follow.RBI blames banks for Mudra loan defaults; bankers say can't help.After 12 years, RBI set to modify fit-and-proper norms for bank directors",neutral
302,"July 20, 2019, Saturday",Private insurers not keen on higher FDI cap despite Sitharaman's offer.Aditya Birla Payments Bank to shut shop only 17 months into operations,neutral
303,"July 19, 2019, Friday","Bandhan Bank profit rises 45%; seeks to open 187 branches this year.UP cooperative banks' sugar sector exposure stands at Rs 5,700 crore.Bitcoin causing annual CO2 emissions comparable to those of Vegas: Study.Fairfax-backed CSB Bank fixes share price at Rs 193-195 for IPO on Nov 22.The day India's banks died because of political priorities of a populist PM",neutral
304,"July 18, 2019, Thursday",Jalan panel proposes 'nominal' transfer of RBI funds to govt over 3-5 years,neutral
305,"July 17, 2019, Wednesday","YES Bank reports 91% decline in net profit in Q1FY20 at Rs 114 cr.After PNB, Punjab & Sind Bank detects Rs-238 cr fraud by Bhushan Power.Jalan panel to suggest RBI transfer surplus capital to govt in over 3-5 yrs.MSME focus for Yes Bank; looks to reduce turnaround time to one day.'Anti-patriotic': RSS wing says India must not issue foreign currency bonds",neutral
306,"July 16, 2019, Tuesday","India's investment banking activities generated $523 mn in fees in H1CY19.Move to separate HFC regulation and supervision welcome, say experts.White-label ATM firms get breather as RBI allows direct sourcing of cash.Old private banks set to improve game with renewed interest from investors.Federal Bank Q1 net profit up 46% to Rs 384 crore as bad loans ease",positive
307,"July 15, 2019, Monday","RBI slaps Rs 7 cr fine on SBI for flouting norms on identifying bad loans.Deutsche Bank's 18,000 job cuts tip of the iceberg for the finance industry",neutral
308,"July 14, 2019, Sunday","S R Batliboi & Co resigns as statutory auditor for IndusInd Bank.Eligibility norms for PSU banks to pick pooled NBFC assets likely this week.Life insurers' new premium, led by LIC, jumps 94% to Rs 32,241 cr in June",positive
